query,searched,scroll_ahead,id
الأردن,False,0,0
أخبار فلسطين,False,0,1
اجتماعات,False,0,2
مجلات,False,0,3
قناة الحرة,False,0,4
بودكاست عمان,False,0,5
أخبار البحرين,False,0,6
أخبار المغرب,False,0,7
سكاي نيوز,False,0,8
فرانس,False,0,9
المغرب,False,0,10
بودكاست المملكة العربية السعودية,False,0,11
لبنان,False,0,12
تقارير,False,0,13
أخبار الكويت,False,0,14
الشؤون الجارية,False,0,15
تحقيقات,False,0,16
البودكاست الإمارات العربية المتحدة,False,0,17
أخبار جوية,False,0,18
أخبار عمان,False,0,19
البودكاست,False,0,20
الجزائر,False,0,21
قنوات,False,0,22
بودكاست لبنان,False,0,23
أخبار الإمارات العربية المتحدة,False,0,24
خبر,False,0,25
أخبار الأردن,False,0,26
ال مبس,False,0,27
تصريحات,False,0,28
السودان,False,0,29
بودكاست موريتانيا,False,0,30
أخبار العراق,False,0,31
سوريا,False,0,32
بودكاست الإمارات العربية المتحدة,False,0,33
بودكاست اليمن,False,0,34
الإعلام,False,0,35
البودكاست السعودية,False,0,36
قناة الشروق,False,0,37
بودكاست الكويت,False,0,38
عربية,False,0,39
البودكاست سوريا,False,0,40
بودكاست السودان,False,0,41
روسيا اليوم,False,0,42
موريتانيا,False,0,43
أخبار المملكة العربية السعودية,False,0,44
إعلام,False,0,45
إبلاغ,False,0,46
بودكاست العراق,False,0,47
تحقيق,False,0,48
أخبار تونس,False,0,49
اجتماع,False,0,50
الأحداث الجارية,False,0,51
البودكاست العراق,False,0,52
البودكاست البحرين,False,0,53
الإمارات العربية المتحدة,False,0,54
أحداث,False,0,55
روتانا خليجية,False,0,56
حدث,False,0,57
تقرير,False,0,58
عمان,False,0,59
نبأ,False,0,60
تصريح,False,0,61
قطر,False,0,62
أخبار ليبيا,False,0,63
الصحافة,False,0,64
البودكاست عمان,False,0,65
البودكاست إيران,False,0,66
أخبار موريتانيا,False,0,67
البحرين,False,0,68
جرائد,False,0,69
صحافة,False,0,70
بودكاست ليبيا,False,0,71
حديث,False,0,72
مقابلات,False,0,73
أنباء,False,0,74
تونس,False,0,75
البودكاست الأردن,False,0,76
مصر,False,0,77
بودكاست المغرب,False,0,78
جريدة,False,0,79
بي بي سي,False,0,80
العراق,False,0,81
بودكاست تونس,False,0,82
مجلة,False,0,83
أخبار سوريا,False,0,84
أحاديث,False,0,85
خبر عاجل,False,0,86
بودكاست مصر,False,0,87
بث,False,0,88
محطة,False,0,89
أخبار لبنان,False,0,90
بودكاست البحرين,False,0,91
أخبار,False,0,92
أخبار رياضية,False,0,93
بودكاست فلسطين,False,0,94
أخبار قطر,False,0,95
ليبيا,False,0,96
البودكاست اليمن,False,0,97
بودكاست سوريا,False,0,98
الجزيرة,False,0,99
البودكاست قطر,False,0,100
مقابلة,False,0,101
اليمن,False,0,102
بودكاست قطر,False,0,103
تلفزيون,False,0,104
القاهرة الإخبارية,False,0,105
البودكاست مصر,False,0,106
البودكاست الكويت,False,0,107
فلسطين,False,0,108
المملكة العربية السعودية,False,0,109
بودكاست الجزائر,False,0,110
الوسائل الإعلامية,False,0,111
أخبار الجزائر,False,0,112
أخبار السودان,False,0,113
بودكاست الأردن,False,0,114
الكويت,False,0,115
البودكاست المصرى,False,0,116
سياسة,False,0,117
العربية,False,0,118
أخبار مصر,False,0,119
